date,tweet,kasus_baru,clean_tweet
2021-12-06,Patroli memberikan himbauan dan teguran kepada Masyarakat Pemilik Usaha PKL dalam rangka PPKM Level I di Wilayah,130,patroli himbauan teguran masyarakat pemilik usaha pkl rangka ppkm level supaya wilayah
2021-12-06,Pemerintah Tak Jadi Terapkan PPKM Level saat Libur Nataru tapi Semua Diperketat LengkapCepatBeritanya Keuangan,130,pemerintah terapkan ppkm level libur nataru diperketat lengkapcepatberitanya keuangan
2021-12-06,Berdiri PPKM adalah salah satu cara menekan penyebaran covid,130,berdiri ppkm salah menekan penyebaran covid
2021-12-06,Mencla mencle Skenario mafia ppkm belaka,130,mencla mencle skenario mafia ppkm belaka
2021-12-06,Gajadi ppkm level nih,130,gajadi ppkm level nih
2021-12-06,PPKM serentak bukti keseriusan pemerintah menjaga kesehatan masyarakat e,130,ppkm serentak bukti keseriusan pemerintah menjaga kesehatan masyarakat besar
2021-12-06,Dukung PPKM,130,dukung ppkm
2021-12-06,Dukung rencana Pemerintah dalam menerapkan PPKM level yang akan diberlakukan mulai tanggal Desember J,130,dukung rencana pemerintah menerapkan ppkm level diberlakukan tanggal desember jadi
2021-12-06,Pemerintah Batal Terapkan PPKM Level di Seluruh Indonesia Saat Nataru Simak Aturan Terbaru,130,pemerintah batal terapkan ppkm level indonesia nataru simak aturan terbaru
2021-12-06,Dukung penerapan PPKM level jelang NATARU Taat Prokes dan minimalkan mobilitas Di rumah lebih baik,130,dukung penerapan ppkm level jelang nataru taat prokes minimalkan mobilitas rumah
2021-12-06,PPKm,130,ppkm
2021-12-06,Dilansir dari salinan Inmendagri tersebut pada Selasa daerah yang berstatus Level di luar Jawa Bali,130,dilansir salinan inmendagri selasa daerah berstatus level jawa bali
2021-12-06,Anggota piket fungsi Polsek Babelan Melaksanakan Patroli Dialogis ke Tokoh Masyarakat H Supri memberikan pesan kamt,130,anggota piket fungsi polsek babelan melaksanakan patroli dialogis tokoh masyarakat sudah supri pesan kamt
2021-12-06,Dukung PPKM,130,dukung ppkm
2021-12-06,Pemerintah Tak akan Terapkan PPKM Level secara Merata Saat Libur Nataru,130,pemerintah terapkan ppkm level merata libur nataru
2021-12-06,Pemerintah Batalkan Penerapan PPKM Level Serentak di Semua Wilayah Selama Nataru,130,pemerintah batalkan penerapan ppkm level serentak wilayah nataru
2021-12-06,Dukung PPKM,130,dukung ppkm
2021-12-06,PPKM Diperpanjang Level Asessment sesuai Situasi Pandemi dan Capaian Vaksinasi,130,ppkm diperpanjang level asessment sesuai situasi pandemi capaian vaksinasi
2021-12-06,MASYARAKAT MENDUKUNG KEBIJAKAN PPKM LEVEL UNTUK MEMINIMALISIR MOBILITAS MASYARAKAT JELANG NATARU PENERAPAN INI M,130,masyarakat mendukung kebijakan ppkm level meminimalisir mobilitas masyarakat jelang nataru penerapan memang
2021-12-06,Penerapan kebijakan level menjelang liburan Natal dan Tahun Baru demi mencegah terjadinya lonjakan kasus penulara,130,penerapan kebijakan level menjelang liburan natal mencegah lonjakan penulara
2021-12-06,PPKM level dilarang kumpul kumpul dulu kalo mau ngerokok ma ketawa sendiri dulu dpt feel nya jg kalo ngerokok nya di WC,130,ppkm level dilarang kumpul kumpul kalau ngerokok memang ketawa dpt feel nya juga kalau ngerokok nya wc
2021-12-06,Mari kita terus lawan Covid dengan tingkatkan disiplin Protokol Kesehatan Patuhi aturan PPKM akan diterapkan Pem,130,mari lawan covid tingkatkan disiplin protokol kesehatan patuhi aturan ppkm diterapkan pem
2021-12-06,Pemerintah Batal Terapkan PPKM Level di Seluruh Indonesia Simak Aturan Terbaru,130,pemerintah batal terapkan ppkm level indonesia simak aturan terbaru
2021-12-06,Kebijakan Pemerintah dngn PPKM Level Des s d Jan di seluruh wilayah adlh untuk menekan mobil,130,kebijakan pemerintah dngn ppkm level des saja jadi jan wilayah adlh menekan mobil
2021-12-06,lung Dukung PPKM,130,tolong dukung ppkm
2021-12-06,Moeldoko sampaikan kebijakan PPKM selama natal dan tahun baru,130,moeldoko kebijakan ppkm natal
2021-12-06,Skrg salenya dipercepat Kunnn Antisipasi ppkm diperjetat waktu Natal Hari minggu itu uda mulai sale besar an pada nyerbu,130,sekarang salenya dipercepat kunnn antisipasi ppkm diperjetat natal minggu sudah sale memang nyerbu
2021-12-06,Senin Bhabinkamtibmas Purwodadi melaksanakan sambang warga kampung tangguh semeru Kelurahan Purwodadi d,130,senin bhabinkamtibmas purwodadi melaksanakan sambang warga kampung tangguh semeru kelurahan purwodadi jadi
2021-12-06,Berita populer nasional tentang situasi Covid terkini menjelang berakhirnya PPKM luar Jawa Bali,130,berita populer nasional situasi covid terkini menjelang ppkm jawa bali
2021-12-06,Pemerintah memutuskan untuk memperpanjang pemberlakuan pembatasan kegiatan masyarakat PPKM level di luar Jawa,130,pemerintah memutuskan memperpanjang pemberlakuan pembatasan kegiatan masyarakat ppkm level jawa
2021-12-06,Pemerintah Tak Jadi Terapkan PPKM Level Serentak Saat Nataru,130,pemerintah terapkan ppkm level serentak nataru
2021-12-06,admin selama ppkm natal dan tahun baru untuk kereta kaligung kamandaka joglosemarkerto tetap beroperasi tidak ya terima kasih,130,admin ppkm natal kereta kaligung kamandaka joglosemarkerto beroperasi iya terima kasih
2021-12-06,Pemberlakuan PPKM level akan berlangsung dari tanggal Desember Januari PPKM membatasi mobilitas,130,pemberlakuan ppkm level tanggal desember januari ppkm membatasi mobilitas
