Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.31,0.31,0.4255568202524817
75% Corpus,6,0.31,0.61,0.4145054571644033
75% Corpus,6,0.31,0.9099999999999999,0.41495131069769225
75% Corpus,6,0.31,symmetric,0.42141615940195526
75% Corpus,6,0.61,0.01,0.44476952494160177
75% Corpus,6,0.61,0.31,0.40164928446517273
75% Corpus,6,0.61,0.61,0.413956360329754
75% Corpus,6,0.61,0.9099999999999999,0.3952047492575212
75% Corpus,6,0.61,symmetric,0.4067153953297738
75% Corpus,6,0.9099999999999999,0.01,0.46081726260266875
75% Corpus,6,0.9099999999999999,0.31,0.4021137476637982
75% Corpus,6,0.9099999999999999,0.61,0.3793614906315586
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3856567341744288
75% Corpus,6,0.9099999999999999,symmetric,0.4282121992719273
75% Corpus,6,symmetric,0.01,0.4357862366551577
75% Corpus,6,symmetric,0.31,0.43089930297222967
75% Corpus,6,symmetric,0.61,0.43309004876319995
75% Corpus,6,symmetric,0.9099999999999999,0.424368225234325
75% Corpus,6,symmetric,symmetric,0.43089930297222967
75% Corpus,6,asymmetric,0.01,0.3923972090544319
75% Corpus,6,asymmetric,0.31,0.36609122710149156
75% Corpus,6,asymmetric,0.61,0.3646042548752637
75% Corpus,6,asymmetric,0.9099999999999999,0.3437661340510971
75% Corpus,6,asymmetric,symmetric,0.3788265912533282
75% Corpus,7,0.01,0.01,0.40998662019636106
75% Corpus,7,0.01,0.31,0.41835149322605714
75% Corpus,7,0.01,0.61,0.41835149322605714
75% Corpus,7,0.01,0.9099999999999999,0.4138285493407882
75% Corpus,7,0.01,symmetric,0.41882547141448584
75% Corpus,7,0.31,0.01,0.4484147918377982
75% Corpus,7,0.31,0.31,0.45083482448190837
75% Corpus,7,0.31,0.61,0.4551342696489575
75% Corpus,7,0.31,0.9099999999999999,0.4377607916829575
75% Corpus,7,0.31,symmetric,0.4577238812996565
75% Corpus,7,0.61,0.01,0.44559495486077844
75% Corpus,7,0.61,0.31,0.4279779474117836
75% Corpus,7,0.61,0.61,0.4041339133613033
75% Corpus,7,0.61,0.9099999999999999,0.3859510385646643
75% Corpus,7,0.61,symmetric,0.4442073810725962
75% Corpus,7,0.9099999999999999,0.01,0.44561229761983984
75% Corpus,7,0.9099999999999999,0.31,0.4041525130897742
75% Corpus,7,0.9099999999999999,0.61,0.39624572098578
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.41084748325871157
75% Corpus,7,0.9099999999999999,symmetric,0.434317418925626
75% Corpus,7,symmetric,0.01,0.4307028571405923
75% Corpus,7,symmetric,0.31,0.43511612353173196
75% Corpus,7,symmetric,0.61,0.43438050479377627
75% Corpus,7,symmetric,0.9099999999999999,0.4354428398237168
75% Corpus,7,symmetric,symmetric,0.4332032181850726
75% Corpus,7,asymmetric,0.01,0.39489513244388214
75% Corpus,7,asymmetric,0.31,0.3735852908439952
75% Corpus,7,asymmetric,0.61,0.3623727681548333
75% Corpus,7,asymmetric,0.9099999999999999,0.3488391513390711
75% Corpus,7,asymmetric,symmetric,0.39198277528153075
75% Corpus,8,0.01,0.01,0.4358817854593877
75% Corpus,8,0.01,0.31,0.44013332032583186
75% Corpus,8,0.01,0.61,0.43287874034545076
75% Corpus,8,0.01,0.9099999999999999,0.43156928804985295
75% Corpus,8,0.01,symmetric,0.43728055144473627
75% Corpus,8,0.31,0.01,0.4326811651137743
75% Corpus,8,0.31,0.31,0.4412944663430383
75% Corpus,8,0.31,0.61,0.4307716996761326
75% Corpus,8,0.31,0.9099999999999999,0.42470410159806843
75% Corpus,8,0.31,symmetric,0.44327041208178436
75% Corpus,8,0.61,0.01,0.4313707883440775
75% Corpus,8,0.61,0.31,0.42533991159095264
75% Corpus,8,0.61,0.61,0.4007830025632617
75% Corpus,8,0.61,0.9099999999999999,0.378956974921445
75% Corpus,8,0.61,symmetric,0.41861430454766746
75% Corpus,8,0.9099999999999999,0.01,0.4182256398617126
75% Corpus,8,0.9099999999999999,0.31,0.38842590148936224
75% Corpus,8,0.9099999999999999,0.61,0.38322655021413077
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4182379455386991
75% Corpus,8,0.9099999999999999,symmetric,0.42435916501642734
75% Corpus,8,symmetric,0.01,0.4570137911474476
75% Corpus,8,symmetric,0.31,0.44979945755451967
75% Corpus,8,symmetric,0.61,0.4539111717130836
75% Corpus,8,symmetric,0.9099999999999999,0.45285020741631904
75% Corpus,8,symmetric,symmetric,0.4541472042439404
75% Corpus,8,asymmetric,0.01,0.3815573302280263
75% Corpus,8,asymmetric,0.31,0.4332545445385526
75% Corpus,8,asymmetric,0.61,0.4360620367081396
75% Corpus,8,asymmetric,0.9099999999999999,0.4295486554603277
75% Corpus,8,asymmetric,symmetric,0.36611750908541174
75% Corpus,9,0.01,0.01,0.4294203932376482
75% Corpus,9,0.01,0.31,0.4205106680949646
75% Corpus,9,0.01,0.61,0.43383753325769275
75% Corpus,9,0.01,0.9099999999999999,0.42657736381429967
75% Corpus,9,0.01,symmetric,0.4266399670252045
75% Corpus,9,0.31,0.01,0.4141237821714622
75% Corpus,9,0.31,0.31,0.4163031359463182
75% Corpus,9,0.31,0.61,0.4329086140143594
75% Corpus,9,0.31,0.9099999999999999,0.4270827429339509
75% Corpus,9,0.31,symmetric,0.39702694413703954
75% Corpus,9,0.61,0.01,0.42636367295225175
75% Corpus,9,0.61,0.31,0.40208668771188383
75% Corpus,9,0.61,0.61,0.39393198402683344
75% Corpus,9,0.61,0.9099999999999999,0.38410965075523723
75% Corpus,9,0.61,symmetric,0.406524686666665
75% Corpus,9,0.9099999999999999,0.01,0.4133582372960805
75% Corpus,9,0.9099999999999999,0.31,0.404506691481269
75% Corpus,9,0.9099999999999999,0.61,0.4332504365700574
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4361733221927308
75% Corpus,9,0.9099999999999999,symmetric,0.40499897731627865
75% Corpus,9,symmetric,0.01,0.4054787474219636
75% Corpus,9,symmetric,0.31,0.39597087315821805
75% Corpus,9,symmetric,0.61,0.39017278316443105
75% Corpus,9,symmetric,0.9099999999999999,0.4300196601070408
75% Corpus,9,symmetric,symmetric,0.40634389661451853
75% Corpus,9,asymmetric,0.01,0.3897876903239794
75% Corpus,9,asymmetric,0.31,0.39254881871954594
75% Corpus,9,asymmetric,0.61,0.4169575795193193
75% Corpus,9,asymmetric,0.9099999999999999,0.41936370390405814
75% Corpus,9,asymmetric,symmetric,0.38079924296236
75% Corpus,10,0.01,0.01,0.38856636256303906
75% Corpus,10,0.01,0.31,0.3815786980702191
75% Corpus,10,0.01,0.61,0.3877284055480115
75% Corpus,10,0.01,0.9099999999999999,0.3701656240249668
75% Corpus,10,0.01,symmetric,0.3864581137017901
75% Corpus,10,0.31,0.01,0.4170694372511258
75% Corpus,10,0.31,0.31,0.4114242981925752
75% Corpus,10,0.31,0.61,0.38498338113297004
75% Corpus,10,0.31,0.9099999999999999,0.3675496679267436
75% Corpus,10,0.31,symmetric,0.41522742576894667
75% Corpus,10,0.61,0.01,0.4267518122257069
75% Corpus,10,0.61,0.31,0.4003355644378259
75% Corpus,10,0.61,0.61,0.42024283394360074
75% Corpus,10,0.61,0.9099999999999999,0.3917185889603932
75% Corpus,10,0.61,symmetric,0.40653947149701
75% Corpus,10,0.9099999999999999,0.01,0.45679764702358083
75% Corpus,10,0.9099999999999999,0.31,0.4206894720901505
75% Corpus,10,0.9099999999999999,0.61,0.46109139885076855
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4149976963110521
75% Corpus,10,0.9099999999999999,symmetric,0.416582571789216
75% Corpus,10,symmetric,0.01,0.40999720416528795
75% Corpus,10,symmetric,0.31,0.40580229456560246
75% Corpus,10,symmetric,0.61,0.39343835596569005
75% Corpus,10,symmetric,0.9099999999999999,0.36284920021263695
75% Corpus,10,symmetric,symmetric,0.4021245925711111
75% Corpus,10,asymmetric,0.01,0.3856414742683626
75% Corpus,10,asymmetric,0.31,0.35299488502346216
75% Corpus,10,asymmetric,0.61,0.33658745880047924
75% Corpus,10,asymmetric,0.9099999999999999,0.33712945144581546
75% Corpus,10,asymmetric,symmetric,0.348366836821073
100% Corpus,2,0.01,0.01,0.3957836796425862
100% Corpus,2,0.01,0.31,0.4040899130336017
100% Corpus,2,0.01,0.61,0.40408991303360164
100% Corpus,2,0.01,0.9099999999999999,0.39714398952689844
100% Corpus,2,0.01,symmetric,0.40408991303360164
100% Corpus,2,0.31,0.01,0.36953507190830065
100% Corpus,2,0.31,0.31,0.359086651206033
100% Corpus,2,0.31,0.61,0.3588152431616963
100% Corpus,2,0.31,0.9099999999999999,0.3588152431616963
100% Corpus,2,0.31,symmetric,0.36054048817689766
100% Corpus,2,0.61,0.01,0.38885917020015226
100% Corpus,2,0.61,0.31,0.3491563580156104
100% Corpus,2,0.61,0.61,0.369066077429517
100% Corpus,2,0.61,0.9099999999999999,0.3607664485036736
100% Corpus,2,0.61,symmetric,0.3510748991568663
100% Corpus,2,0.9099999999999999,0.01,0.39714398952689844
100% Corpus,2,0.9099999999999999,0.31,0.37484943576818086
100% Corpus,2,0.9099999999999999,0.61,0.3508548046595714
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3607664485036736
100% Corpus,2,0.9099999999999999,symmetric,0.374629341270886
100% Corpus,2,symmetric,0.01,0.3800728460300459
100% Corpus,2,symmetric,0.31,0.3491563580156104
100% Corpus,2,symmetric,0.61,0.3671475362882611
100% Corpus,2,symmetric,0.9099999999999999,0.3607664485036737
100% Corpus,2,symmetric,symmetric,0.3671475362882611
100% Corpus,2,asymmetric,0.01,0.3993697422458559
100% Corpus,2,asymmetric,0.31,0.40625767751824104
100% Corpus,2,asymmetric,0.61,0.40625767751824104
100% Corpus,2,asymmetric,0.9099999999999999,0.40625767751824104
100% Corpus,2,asymmetric,symmetric,0.40625767751824104
100% Corpus,3,0.01,0.01,0.4465349699128003
100% Corpus,3,0.01,0.31,0.440733366722426
100% Corpus,3,0.01,0.61,0.44488441762325254
100% Corpus,3,0.01,0.9099999999999999,0.44488441762325254
100% Corpus,3,0.01,symmetric,0.440733366722426
100% Corpus,3,0.31,0.01,0.43852797499687135
100% Corpus,3,0.31,0.31,0.4120772372598183
100% Corpus,3,0.31,0.61,0.4120772372598183
100% Corpus,3,0.31,0.9099999999999999,0.4047093805108069
100% Corpus,3,0.31,symmetric,0.4120772372598183
100% Corpus,3,0.61,0.01,0.449317047637094
100% Corpus,3,0.61,0.31,0.4112598013566345
100% Corpus,3,0.61,0.61,0.41576144001191856
100% Corpus,3,0.61,0.9099999999999999,0.3913622401636309
100% Corpus,3,0.61,symmetric,0.4112598013566345
100% Corpus,3,0.9099999999999999,0.01,0.4529902730896924
100% Corpus,3,0.9099999999999999,0.31,0.4409723165332802
100% Corpus,3,0.9099999999999999,0.61,0.40863291929665646
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.38311200237637905
100% Corpus,3,0.9099999999999999,symmetric,0.42966392621274857
100% Corpus,3,symmetric,0.01,0.43852797499687135
100% Corpus,3,symmetric,0.31,0.4120772372598183
100% Corpus,3,symmetric,0.61,0.4120772372598183
100% Corpus,3,symmetric,0.9099999999999999,0.404709380510807
100% Corpus,3,symmetric,symmetric,0.4120772372598183
100% Corpus,3,asymmetric,0.01,0.4056572227905857
100% Corpus,3,asymmetric,0.31,0.4032586953690645
100% Corpus,3,asymmetric,0.61,0.4161352650137255
100% Corpus,3,asymmetric,0.9099999999999999,0.4183113307216216
100% Corpus,3,asymmetric,symmetric,0.4032586953690645
100% Corpus,4,0.01,0.01,0.43700692582173156
100% Corpus,4,0.01,0.31,0.43700692582173156
100% Corpus,4,0.01,0.61,0.4334690093016964
100% Corpus,4,0.01,0.9099999999999999,0.4334690093016964
100% Corpus,4,0.01,symmetric,0.4370069258217315
100% Corpus,4,0.31,0.01,0.4583632502831618
100% Corpus,4,0.31,0.31,0.4448988257623826
100% Corpus,4,0.31,0.61,0.44275401943828196
100% Corpus,4,0.31,0.9099999999999999,0.44698014032286215
100% Corpus,4,0.31,symmetric,0.4448988257623825
100% Corpus,4,0.61,0.01,0.41979162503589224
100% Corpus,4,0.61,0.31,0.44648099429513666
100% Corpus,4,0.61,0.61,0.43611055565671525
100% Corpus,4,0.61,0.9099999999999999,0.42913884137220015
100% Corpus,4,0.61,symmetric,0.4464809942951366
100% Corpus,4,0.9099999999999999,0.01,0.42732006941653167
100% Corpus,4,0.9099999999999999,0.31,0.4485071134435071
100% Corpus,4,0.9099999999999999,0.61,0.422027002668934
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4338529472687909
100% Corpus,4,0.9099999999999999,symmetric,0.44850711344350697
100% Corpus,4,symmetric,0.01,0.45413712939858153
100% Corpus,4,symmetric,0.31,0.4514089486119067
100% Corpus,4,symmetric,0.61,0.4492641422878061
100% Corpus,4,symmetric,0.9099999999999999,0.44275401943828185
100% Corpus,4,symmetric,symmetric,0.4514089486119067
100% Corpus,4,asymmetric,0.01,0.4121515567250924
100% Corpus,4,asymmetric,0.31,0.38010655378569463
100% Corpus,4,asymmetric,0.61,0.39726267644416857
100% Corpus,4,asymmetric,0.9099999999999999,0.3867105322255424
100% Corpus,4,asymmetric,symmetric,0.3821048719903958
100% Corpus,5,0.01,0.01,0.45876413418141526
100% Corpus,5,0.01,0.31,0.4687498677377735
100% Corpus,5,0.01,0.61,0.4729234900228752
100% Corpus,5,0.01,0.9099999999999999,0.47217130912465227
100% Corpus,5,0.01,symmetric,0.47558315375808846
100% Corpus,5,0.31,0.01,0.4525430002267016
100% Corpus,5,0.31,0.31,0.4572184252485713
100% Corpus,5,0.31,0.61,0.4372727129857913
100% Corpus,5,0.31,0.9099999999999999,0.4339283734071673
100% Corpus,5,0.31,symmetric,0.4558791537597914
100% Corpus,5,0.61,0.01,0.45475276152573585
100% Corpus,5,0.61,0.31,0.4463481271841544
100% Corpus,5,0.61,0.61,0.44126455798325254
100% Corpus,5,0.61,0.9099999999999999,0.4263853578034089
100% Corpus,5,0.61,symmetric,0.44218859967637947
100% Corpus,5,0.9099999999999999,0.01,0.44355766675286484
100% Corpus,5,0.9099999999999999,0.31,0.42733592648669055
100% Corpus,5,0.9099999999999999,0.61,0.42993928472575166
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.38061972475195677
100% Corpus,5,0.9099999999999999,symmetric,0.42825340397322387
100% Corpus,5,symmetric,0.01,0.4593495372455328
100% Corpus,5,symmetric,0.31,0.45716120286634754
100% Corpus,5,symmetric,0.61,0.4609263227024646
100% Corpus,5,symmetric,0.9099999999999999,0.4609263227024646
100% Corpus,5,symmetric,symmetric,0.4601102474751409
100% Corpus,5,asymmetric,0.01,0.4031131028435767
100% Corpus,5,asymmetric,0.31,0.3951308223228264
100% Corpus,5,asymmetric,0.61,0.37959349267225634
100% Corpus,5,asymmetric,0.9099999999999999,0.363672317956745
100% Corpus,5,asymmetric,symmetric,0.40607069670046875
100% Corpus,6,0.01,0.01,0.4355426255458091
100% Corpus,6,0.01,0.31,0.4352593657815762
100% Corpus,6,0.01,0.61,0.43356141467203785
100% Corpus,6,0.01,0.9099999999999999,0.4205856662644802
100% Corpus,6,0.01,symmetric,0.4299798073365417
100% Corpus,6,0.31,0.01,0.425357657285416
100% Corpus,6,0.31,0.31,0.4255568202524817
100% Corpus,6,0.31,0.61,0.4145054571644033
100% Corpus,6,0.31,0.9099999999999999,0.41495131069769225
100% Corpus,6,0.31,symmetric,0.42141615940195526
100% Corpus,6,0.61,0.01,0.44476952494160177
100% Corpus,6,0.61,0.31,0.40164928446517273
100% Corpus,6,0.61,0.61,0.413956360329754
100% Corpus,6,0.61,0.9099999999999999,0.3952047492575212
100% Corpus,6,0.61,symmetric,0.4067153953297738
100% Corpus,6,0.9099999999999999,0.01,0.46081726260266875
100% Corpus,6,0.9099999999999999,0.31,0.4021137476637982
100% Corpus,6,0.9099999999999999,0.61,0.3793614906315586
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3856567341744288
100% Corpus,6,0.9099999999999999,symmetric,0.4282121992719273
100% Corpus,6,symmetric,0.01,0.4357862366551577
100% Corpus,6,symmetric,0.31,0.43089930297222967
100% Corpus,6,symmetric,0.61,0.43309004876319995
100% Corpus,6,symmetric,0.9099999999999999,0.424368225234325
100% Corpus,6,symmetric,symmetric,0.43089930297222967
100% Corpus,6,asymmetric,0.01,0.3923972090544319
100% Corpus,6,asymmetric,0.31,0.36609122710149156
100% Corpus,6,asymmetric,0.61,0.3646042548752637
100% Corpus,6,asymmetric,0.9099999999999999,0.3437661340510971
100% Corpus,6,asymmetric,symmetric,0.3788265912533282
100% Corpus,7,0.01,0.01,0.40998662019636106
100% Corpus,7,0.01,0.31,0.41835149322605714
100% Corpus,7,0.01,0.61,0.41835149322605714
100% Corpus,7,0.01,0.9099999999999999,0.4138285493407882
100% Corpus,7,0.01,symmetric,0.41882547141448584
100% Corpus,7,0.31,0.01,0.4484147918377982
100% Corpus,7,0.31,0.31,0.45083482448190837
100% Corpus,7,0.31,0.61,0.4551342696489575
100% Corpus,7,0.31,0.9099999999999999,0.4377607916829575
100% Corpus,7,0.31,symmetric,0.4577238812996565
100% Corpus,7,0.61,0.01,0.44559495486077844
100% Corpus,7,0.61,0.31,0.4279779474117836
100% Corpus,7,0.61,0.61,0.4041339133613033
100% Corpus,7,0.61,0.9099999999999999,0.3859510385646643
100% Corpus,7,0.61,symmetric,0.4442073810725962
100% Corpus,7,0.9099999999999999,0.01,0.44561229761983984
100% Corpus,7,0.9099999999999999,0.31,0.4041525130897742
100% Corpus,7,0.9099999999999999,0.61,0.39624572098578
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.41084748325871157
100% Corpus,7,0.9099999999999999,symmetric,0.434317418925626
100% Corpus,7,symmetric,0.01,0.4307028571405923
100% Corpus,7,symmetric,0.31,0.43511612353173196
100% Corpus,7,symmetric,0.61,0.43438050479377627
100% Corpus,7,symmetric,0.9099999999999999,0.4354428398237168
100% Corpus,7,symmetric,symmetric,0.4332032181850726
100% Corpus,7,asymmetric,0.01,0.39489513244388214
100% Corpus,7,asymmetric,0.31,0.3735852908439952
100% Corpus,7,asymmetric,0.61,0.3623727681548333
100% Corpus,7,asymmetric,0.9099999999999999,0.3488391513390711
100% Corpus,7,asymmetric,symmetric,0.39198277528153075
100% Corpus,8,0.01,0.01,0.4358817854593877
100% Corpus,8,0.01,0.31,0.44013332032583186
100% Corpus,8,0.01,0.61,0.43287874034545076
100% Corpus,8,0.01,0.9099999999999999,0.43156928804985295
100% Corpus,8,0.01,symmetric,0.43728055144473627
100% Corpus,8,0.31,0.01,0.4326811651137743
100% Corpus,8,0.31,0.31,0.4412944663430383
100% Corpus,8,0.31,0.61,0.4307716996761326
100% Corpus,8,0.31,0.9099999999999999,0.42470410159806843
100% Corpus,8,0.31,symmetric,0.44327041208178436
100% Corpus,8,0.61,0.01,0.4313707883440775
100% Corpus,8,0.61,0.31,0.42533991159095264
100% Corpus,8,0.61,0.61,0.4007830025632617
100% Corpus,8,0.61,0.9099999999999999,0.378956974921445
100% Corpus,8,0.61,symmetric,0.41861430454766746
100% Corpus,8,0.9099999999999999,0.01,0.4182256398617126
100% Corpus,8,0.9099999999999999,0.31,0.38842590148936224
100% Corpus,8,0.9099999999999999,0.61,0.38322655021413077
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4182379455386991
100% Corpus,8,0.9099999999999999,symmetric,0.42435916501642734
100% Corpus,8,symmetric,0.01,0.4570137911474476
100% Corpus,8,symmetric,0.31,0.44979945755451967
100% Corpus,8,symmetric,0.61,0.4539111717130836
100% Corpus,8,symmetric,0.9099999999999999,0.45285020741631904
100% Corpus,8,symmetric,symmetric,0.4541472042439404
100% Corpus,8,asymmetric,0.01,0.3815573302280263
100% Corpus,8,asymmetric,0.31,0.4332545445385526
100% Corpus,8,asymmetric,0.61,0.4360620367081396
100% Corpus,8,asymmetric,0.9099999999999999,0.4295486554603277
100% Corpus,8,asymmetric,symmetric,0.36611750908541174
100% Corpus,9,0.01,0.01,0.4294203932376482
100% Corpus,9,0.01,0.31,0.4205106680949646
100% Corpus,9,0.01,0.61,0.43383753325769275
100% Corpus,9,0.01,0.9099999999999999,0.42657736381429967
100% Corpus,9,0.01,symmetric,0.4266399670252045
100% Corpus,9,0.31,0.01,0.4141237821714622
100% Corpus,9,0.31,0.31,0.4163031359463182
100% Corpus,9,0.31,0.61,0.4329086140143594
100% Corpus,9,0.31,0.9099999999999999,0.4270827429339509
